"ParkName","UnitCode","ParkType","NPFlag","Region","States","latitude","longitude","DateCreated","Age","NPS.Fee.Acres","Private.Acres","Gross.Area.Acres","RecreationVisitsTotal2019","RecreationHoursTotal2019","AvgMonthlyVisits2019","AvgMonthlyHours2019","activities","topics","entranceFees"
"Ala Kahakai","ALKA","National Historic Trail",0,NA,"HI","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arts and Crafts, Arts and Culture, Auto and ATV, Biking, Birdwatching, Boat Tour, Boating, Camping, Canoe or Kayak Camping, Canoe or Kayak Camping, Canoeing, Car or Front Country Camping, Compass and GPS, Cultural Demonstrations, Fishing, Food, Front-Country Hiking, Geocaching, Group Camping, Guided Tours, Hands-On, Hiking, Junior Ranger Program, Kayaking, Motorized Boating, Mountain Biking, Orienteering, Paddling, Picnicking, Road Biking, RV Camping, Sailing, Saltwater Fishing, Saltwater Swimming, Scenic Driving, SCUBA Diving, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Snorkeling, Stand Up Paddleboarding, Surfing, Swimming, Wildlife Watching","Ancient Seas, Animals, Archeology, Architecture and Building, Arts, Birds, Coasts, Islands and Atolls, Coral Reefs, Explorers and Expeditions, Fish, Forests and Woodlands, Heiau, Oceans, Pacific Islander Heritage, Rainforest, Religion and Spirituality, Roads, Routes and Highways, Ruins, Scenic Views, Schools and Education, Sculpture, The Tropics, Trails, Transportation, Volcanoes, Waterfalls","Fees (0.0000)"
"Allegheny Portage Railroad","ALPO","National Historic Site",0,"Northeast ","PA","40.42977467","-78.57431622",1964-08-31,56,"1,255.02","13","1,284.27","189,189","291,387",15765.75,24282.25,"Arts and Culture, Astronomy, Biking, Bookstore and Park Store, Cultural Demonstrations, First Person Interpretation, Hands-On, Hiking, Historic Weapons Demonstration, Junior Ranger Program, Living History, Museum Exhibits, Park Film, Road Biking, Shopping, Stargazing","Abolition Movement, African American Heritage, Architecture and Building, Astronomy, Canals, Commerce, Engineering, Enslavement, Industry, Infantry and Militia, Laborer and Worker, Logging and Timber Cutting, Mexican War, Military, Mountains, Murders, Night Sky, Presidents, River and Riparian, Social Movements, Trade, Tragic Events, Trails, Trains and Railroads, Transportation, Wars and Conflicts","Per Person Fee (0.0000)"
"Amistad","AMIS","National Recreation Area",0,"Intermountain ","TX","29.53539777","-101.075821",1965-11-11,55,"55,532.07","5,047.06","62,945.15","1,267,900","9,284,523",105658.333333333,773710.25,"Backcountry Camping, Birdwatching, Boating, Bookstore and Park Store, Camping, Fishing, Freshwater Fishing, Freshwater Swimming, Group Camping, Hiking, Hunting, Hunting and Gathering, Jet Skiing, Junior Ranger Program, Motorized Boating, Paddling, Park Film, RV Camping, SCUBA Diving, Shopping, Swimming, Water Skiing, Wildlife Watching","African American Heritage, Animals, Archeology, Architecture and Building, Asian American Heritage, Birds, Canyons and Canyonlands, Caves, Caverns and Karst, Explorers and Expeditions, Geology, Hispanic American Heritage, Indian and Frontier Wars, Infantry and Militia, Laborer and Worker, Lakes, Latino American Heritage, Migrant Workers, Military, Native American Heritage, Presidents, Scenic Views, Tortoises and Turtles, Trains and Railroads, Transportation, US Army, Wars and Conflicts, Westward Expansion","There is no entrance fee at Amistad National Recreation Area (0.0000)"
"American Memorial","AMME","Park",0,NA,"MP","15.21680033","145.7231096",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arts and Culture, Biking, First Person Interpretation, Food, Guided Tours, Live Music, Living History, Museum Exhibits, Picnicking, Self-Guided Tours - Walking, Surfing, Theater","Arts, Battlefields, Maritime, Maritime - Military, Military, Monuments and Memorials, Pacific Islander Heritage, Photography, US Air Force (Army Air Corps), US Army, US Marines, US Navy, Wars and Conflicts, World War II","Park entrance fees (0.0000)"
"Anacostia","ANAC","Park",0,NA,"DC","38.89644397","-76.96314236",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biking, Boating, Canoeing, Fishing, Food, Freshwater Fishing, Kayaking, Paddling, Picnicking, Playground, Road Biking, Team Sports, Wildlife Watching","Animals, Military, Native American Heritage, River and Riparian, Scenic Views, Trails, Urban America, US Army, War of 1812, Wars and Conflicts, Water Trails, Wetlands","Entrance Fees (0.0000)"
"Alaska Public Lands","ANCH","",0,NA,"AK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","Free Admittance (0.0000)"
"Andersonville","ANDE","National Historic Site",0,"Southeast ","GA","32.19831758","-84.12988898",1970-10-16,50,"499.88","6.84","515.61","103,635","207,271",8636.25,17272.5833333333,"Auto and ATV, Bookstore and Park Store, Camping, First Person Interpretation, Food, Gift Shop and Souvenirs, Group Camping, Guided Tours, Historic Weapons Demonstration, Junior Ranger Program, Living History, Museum Exhibits, Park Film, Picnicking, Reenactments, Scenic Driving, Self-Guided Tours - Auto, Self-Guided Tours - Walking, Shopping","African American Heritage, American Revolution, American Revolutionary War, Burial, Cemetery and Gravesite, Civil War, Cold War, Enslavement, Forced Marches, French and Indian War, Hispanic American Heritage, Incarceration, Jails and Prisons, Korean War, Mexican War, Military, Monuments and Memorials, National Cemetery, Native American Heritage, Schools and Education, Spanish-American War, Tragic Events, Vietnam War, War of 1812, Wars and Conflicts, Women's History, World War I, World War II","Park Fees (0.0000)"
"Aniakchak","ANIA","National Monument & Preserve",0,"Alaska","AK","56.85317675","-157.5544362",1978-12-01,42,"595,985.35","161.58","","100","5,520",8.33333333333333,460,"Backcountry Camping, Backcountry Hiking, Birdwatching, Camping, Climbing, Flying, Hiking, Mountain Climbing, Wildlife Watching","Arctic, Geothermal, Mountains, Tundra, Volcanoes","No Entrance Fee (0.0000)"
"Andrew Johnson","ANJO","National Historic Site",0,"Southeast ","TN","36.15624509","-82.83709021",1935-08-29,85,"16.68","0","16.68","51,189","28,203",4265.75,2350.25,"Guided Tours, Junior Ranger Program, Museum Exhibits","African American Heritage, Burial, Cemetery and Gravesite, Civil War, Enslavement, National Cemetery, Presidents, Reconstruction, Wars and Conflicts","Free Admission (0.0000)"
"Antietam","ANTI","National Battlefield",0,"National Capital ","MD","39.46763452","-77.73828017",1890-08-30,130,"1,987.55","463.6","3,228.89","287,343","608,565",23945.25,50713.75,"Biking, Birdwatching, Bookstore and Park Store, Camping, Group Camping, Guided Tours, Hiking, Historic Weapons Demonstration, Junior Ranger Program, Living History, Museum Exhibits, Park Film, Road Biking, Self-Guided Tours - Walking, Shopping, Wildlife Watching","African American Heritage, Artillery, Battlefields, Burial, Cemetery and Gravesite, Civil War, Enslavement, Infantry and Militia, Medicine, Military, Monuments and Memorials, National Cemetery, Schools and Education, US Army, Wars and Conflicts, Women's History","Antietam National Battlefield Entrance Fee (10.0000), Antietam National Battlefield Entrance Fee (20.0000), Group Entrance Fees (0.0000)"
"Appomattox Court House","APCO","National Historical Park",0,"Northeast ","VA","37.38022164","-78.79856982",1930-06-18,91,"1,700.30","72.18","1,774.60","102,397","148,723",8533.08333333333,12393.5833333333,"Arts and Culture, Astronomy, Auto and ATV, Birdwatching, Bookstore and Park Store, Craft Demonstrations, Cultural Demonstrations, First Person Interpretation, Food, Front-Country Hiking, Gift Shop and Souvenirs, Guided Tours, Hiking, Historic Weapons Demonstration, Junior Ranger Program, Live Music, Living History, Museum Exhibits, Park Film, Picnicking, Scenic Driving, Self-Guided Tours - Walking, Shopping, Stargazing, Theater, Wildlife Watching","Abolition Movement, African American Heritage, Animals, Archeology, Architecture and Building, Artillery, Arts, Astronomy, Battlefields, Birds, Burial, Cemetery and Gravesite, Cats (wild), Cavalry, Civil War, Enslavement, Incarceration, Infantry and Militia, Jails and Prisons, Military, Monuments and Memorials, Music, Night Sky, Painting, Photography, Reconstruction, Ruins, Scenic Views, Social Movements, Tortoises and Turtles, Trails, Wars and Conflicts","Entrance Fee (0.0000)"
"Apostle Islands","APIS","National Lakeshore",0,"Midwest ","WI","46.96240467","-90.66045665",1970-09-26,50,"42,160.70","51.42","69,377.43","240,613","792,123",20051.0833333333,66010.25,"Backcountry Camping, Birdwatching, Boat Tour, Boat Tour, Boating, Bookstore and Park Store, Camping, Canoe or Kayak Camping, Canoe or Kayak Camping, Fishing, Freshwater Fishing, Freshwater Swimming, Gift Shop and Souvenirs, Group Camping, Guided Tours, Hiking, Hunting, Hunting and Gathering, Junior Ranger Program, Kayaking, Motorized Boating, Paddling, Park Film, Sailing, SCUBA Diving, Shopping, Snowshoeing, Swimming, Wildlife Watching","Ancient Seas, Animals, Arts, Aurora Borealis, Birds, Caves, Caverns and Karst, Climate Change, Coasts, Islands and Atolls, Colonization and Settlement, Commerce, Coniferous Forests, Conservation Movement, Deciduous Forests, Endangered, Farming and  Agriculture, Fish, Forests and Woodlands, Geology, Industry, Lakes, Lighthouses, Logging and Timber Cutting, Maritime, Native American Heritage, Natural Sounds, Night Sky, Photography, Rock Landscapes and Features, Scenic Views, Ships and Shipwrecks, Social Movements, Trade, Unique Species, Wetlands, Wilderness","Entrance Fees (0.0000)"
"Appalachian","APPA","National Scenic Trail",0,NA,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV","40.41029575","-76.4337548",1968-10-02,52,"108,783.86","8,815.98","239,844.32",NA,NA,NA,NA,"Astronomy, Backcountry Camping, Backcountry Hiking, Birdwatching, Camping, Citizen Science, Compass and GPS, Front-Country Hiking, Guided Tours, Hands-On, Hiking, Junior Ranger Program, Orienteering, Self-Guided Tours - Walking, Snowshoeing, Stargazing, Volunteer Vacation, Wildlife Watching","Animals, Astronomy, Birds, Climate Change, Coniferous Forests, Deciduous Forests, Forests and Woodlands, Headwaters, Horses (wild), Lakes, Mountains, Natural Sounds, Night Sky, River and Riparian, Scenic Views, Trails, Waterfalls, Watersheds, Wetlands, Wilderness","Appalachian National Scenic Trail Entrance Fee (0.0000)"
"Arches","ARCH","National Park",1,"Intermountain ","UT","38.72261844","-109.5863666",1929-04-12,92,"76,545.95","0","76,678.98","1,659,702","5,912,819",138308.5,492734.916666667,"Arts and Culture, Astronomy, Auto and ATV, Backcountry Camping, Biking, Bookstore and Park Store, Camping, Canyoneering, Climbing, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Scenic Driving, Shopping, Stargazing","Animals, Archeology, Arches, Birds, Farming and  Agriculture, Geology, Native American Heritage, Night Sky, Ranches, Rock Landscapes and Features, Trails","Private Vehicle Fee (30.0000), Motorcycle Fee (25.0000), Per Person (15.0000)"
"Arlington House, The Robert  E. Lee Memorial","ARHO","",0,"National Capital ","VA","38.8822021484375","-77.0734786987305",1925-03-04,96,"28.08","0","28.08","0","0",0,0,"Guided Tours, Museum Exhibits","African American Heritage, American Revolution, Burial, Cemetery and Gravesite, Civil Rights, Civil War, Enslavement, Military, Monuments and Memorials, National Cemetery, Reconstruction, Social Movements, War of 1812, Wars and Conflicts, Women's History","No Fee (0.0000)"
"Arabia Mountain","ARMO","National Heritage Area",0,NA,"GA","33.6085739135742","-84.1584930419922",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Backcountry Hiking, Biking, Birdwatching, Compass and GPS, Food, Front-Country Hiking, Geocaching, Guided Tours, Hiking, Picnicking, Road Biking, Wildlife Watching","African American Heritage, Animals, Archeology, Birds, Geology, Lakes, Mountains, Rare, Religion and Spirituality, Rock Landscapes and Features, Scenic Views, Trails, Unique Species","Arabia Mountain NHA (0.0000)"
"Arkansas Post","ARPO","National Memorial",0,"Midwest ","AR","34.00389998","-91.30837178",1960-07-06,61,"649.91","93.6","757.51","28,519","42,783",2376.58333333333,3565.25,"Arts and Culture, Birdwatching, Boating, Bookstore and Park Store, Canoeing, Cultural Demonstrations, First Person Interpretation, Fishing, Food, Freshwater Fishing, Front-Country Hiking, Gift Shop and Souvenirs, Guided Tours, Hiking, Historic Weapons Demonstration, Junior Ranger Program, Kayaking, Living History, Museum Exhibits, Paddling, Park Film, Picnicking, Self-Guided Tours - Walking, Shopping, Wildlife Watching","African American Heritage, Alligators or Crocodiles, American Revolution, American Revolutionary War, Animals, Archeology, Asian American Heritage, Battlefields, Birds, Canals, Civil War, Colonial/European Contact Conflicts, Colonization and Settlement, Commerce, Deciduous Forests, Enslavement, Explorers and Expeditions, Fish, Forests and Woodlands, Hispanic American Heritage, Immigration, Indigenous and Native Warrior, Infantry and Militia, Migrations, Military, Native American Heritage, Natural Sounds, River and Riparian, Scenic Views, Tortoises and Turtles, Trade, Trails, Transportation, Tribal Conflicts, US Army, US Navy, Wars and Conflicts, Water Trails, Westward Expansion, Wetlands","Park Fees (0.0000)"
"Assateague Island","ASIS","National Seashore",0,"Northeast ","MD,VA","38.05593172","-75.24524611",1965-09-21,55,"8,983.42","28.9","41,346.50","2,344,536","19,975,719",195378,1664643.25,"Arts and Culture, Astronomy, Auto and ATV, Auto Off-Roading, Backcountry Camping, Backcountry Hiking, Biking, Birdwatching, Camping, Canoe or Kayak Camping, Canoe or Kayak Camping, Canoeing, Car or Front Country Camping, Fishing, Front-Country Hiking, Group Camping, Guided Tours, Hiking, Horse Camping (see also camping), Horse Camping (see also Horse/Stock Use), Horse Trekking, Horseback Riding, Hunting, Hunting and Gathering, Junior Ranger Program, Kayaking, Off-Trail Permitted Hiking, Paddling, Park Film, RV Camping, Saltwater Fishing, Saltwater Swimming, Stand Up Paddleboarding, Stargazing, Surfing, Swimming, Wildlife Watching","Animals, Birds, Climate Change, Coasts, Islands and Atolls, Dunes, Fish, Geology, Horses (wild), Oceans, Tortoises and Turtles, Trails","Assateague Island National Seashore Weekly Vehicle Pass (25.0000), Chincoteague National Wildlife Refuge Weekly Vehicle Pass (25.0000), Chincoteague National Wildlife Refuge Daily Vehicle Pass (10.0000)"
"Atchafalaya","ATTR","National Heritage Area",0,NA,"LA","30.2919769287109","-91.5019378662109",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biking, Birdwatching, Boat Tour, Boating, Camping, Canoe or Kayak Camping, Canoeing, Dining, Fishing, Food, Freshwater Fishing, Front-Country Hiking, Golfing, Guided Tours, Hiking, Kayaking, Paddling, Picnicking, Road Biking, Wildlife Watching","Alligators or Crocodiles, Animals, Birds, Climate Change, Estuaries and Mangroves, Farming and  Agriculture, Fish, Music, Plantations, Rare, River and Riparian, Swamps, Tortoises and Turtles, Trails, Unique Species, Water Trails, Wetlands","N/A (0.0000)"
"Augusta Canal","AUCA","National Heritage Area",0,NA,"GA","33.5099067687988","-82.0053787231445",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biking, Boat Tour, Boat Tour, Boating, Canoeing, Fishing, Food, Freshwater Fishing, Guided Tours, Kayaking, Museum Exhibits, Paddling, Picnicking, Road Biking, Shopping, Stand Up Paddleboarding, Wildlife Watching","Animals, Architecture and Building, Birds, Canals, Dams, Engineering, Factories, Fish, Industry, Mills, River and Riparian, Science, Technology and Innovation, Transportation, Urban America","Free Entry (0.0000)"
"Motor Cities","AUTO","National Heritage Area",0,NA,"MI","42.518180847168","-83.8187713623047",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guided Tours, Museum Exhibits, Self-Guided Tours - Auto","Labor Movement, Laborer and Worker, Science, Technology and Innovation, Transportation, Urban America","Fees (0.0000)"
"National Aviation","AVIA","Heritage Area",0,NA,"OH","39.9818229675293","-84.0711364746094",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guided Tours","Aviation","Entrance Fees Vary (1.0000)"
"Aztec Ruins","AZRU","National Monument",0,"Intermountain ","NM","36.83682216","-107.9999245",1923-01-21,98,"266.78","44.84","318.4","63,777","95,666",5314.75,7972.16666666667,"Arts and Culture, Bookstore and Park Store, Cultural Demonstrations, Front-Country Hiking, Guided Tours, Hiking, Junior Ranger Program, Museum Exhibits, Park Film, Self-Guided Tours - Walking, Shopping","Archeology, Native American Heritage, Ruins, Trails","Entrance Fee (0.0000)"
"Badlands","BADL","National Park",1,"Midwest ","SD","43.68584846","-102.482942",1939-01-25,82,"111,485.13","8,907.57","242,755.94","970,998","4,192,793",80916.5,349399.416666667,"Astronomy, Auto and ATV, Backcountry Camping, Biking, Birdwatching, Bookstore and Park Store, Camping, Compass and GPS, Food, Gift Shop and Souvenirs, Hiking, Horse Camping (see also camping), Horse Camping (see also Horse/Stock Use), Horse Trekking, Horseback Riding, Junior Ranger Program, Park Film, Shopping, Wildlife Watching","Animals, Archeology, Arts, Astronomy, Birds, Bison, Cats (wild), Fire, Fossils and Paleontology, Geology, Grasslands, Monuments and Memorials, Night Sky, Prairies, Rock Landscapes and Features, Scenic Views, Tortoises and Turtles, Trails, Transportation, Unique Species, Wilderness","Private Vehicle (30.0000), Individual (Hiking, Bicycling, etc...) (15.0000), Motorcycle (25.0000), Commercial Sedan, 1 to 6 passenger capacity (25.0000), Commercial Van, 7 to 15 passenger capacity (50.0000), Commercial Minibus, 16 to 25 passenger capacity (60.0000), Commercial Motorcoach, 26 or more passenger capacity (150.0000)"
"Baltimore","BALT","National Heritage Area",0,NA,"MD","39.2904968261719","-76.6284027099609",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","Baltimore National Heritage Area (0.0000)"
"Bandelier","BAND","National Monument",0,"Intermountain ","NM","35.77898596","-106.3317124",1916-02-11,105,"33,654.44","22.23","33,676.67","200,741","928,350",16728.4166666667,77362.5,"Arts and Culture, Astronomy, Backcountry Camping, Backcountry Hiking, Birdwatching, Bookstore and Park Store, Camping, Car or Front Country Camping, Craft Demonstrations, Cross-Country Skiing, Cultural Demonstrations, Food, Front-Country Hiking, Gift Shop and Souvenirs, Group Camping, Guided Tours, Hiking, Junior Ranger Program, Museum Exhibits, Park Film, Picnicking, Self-Guided Tours - Walking, Shopping, Skiing, Snowshoeing, Stargazing, Wildlife Watching","Animals, Archeology, Architecture and Building, Astronomy, Birds, Canyons and Canyonlands, Cats (wild), Cliff Dwellings, Coniferous Forests, Elk, Foothills, Plains and Valleys, Forests and Woodlands, Geology, Laborer and Worker, Native American Heritage, Night Sky, Plateaus and Mesas, River and Riparian, Ruins, Scenic Views, Volcanoes, Watersheds, Wilderness","Per vehicle (25.0000), Motorcycle (20.0000), Bicycle/pedestrian (15.0000)"
"Baltimore-Washington","BAWA","Parkway",0,NA,"MD","39.02604289","-76.85410921",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auto and ATV, Scenic Driving","Roads, Routes and Highways, Transportation","Entrance fee (0.0000)"
"Bering Land Bridge","BELA","National Preserve",0,"Alaska","AK","65.96087902","-164.4086432",1978-12-01,42,"2,651,327.60","46,063.41","2,697,391.01","2,642","7,926",220.166666666667,660.5,"Backcountry Camping, Backcountry Hiking, Birdwatching, Camping, Dog Sledding, Fixed Wing Flying, Flying, Gathering and Foraging, Hiking, Hunting and Gathering, Junior Ranger Program, Snowmobiling, Wildlife Watching","Arctic, Geothermal, Hot Springs, Volcanoes","Park Entrance (0.0000)"
"Bent's Old Fort","BEOL","National Historic Site",0,"Intermountain ","CO","38.03977546","-103.4266499",1960-06-03,61,"735.6","55.8","798.8","21,674","37,929",1806.16666666667,3160.75,"Arts and Culture, Birdwatching, Bookstore and Park Store, Craft Demonstrations, Cultural Demonstrations, First Person Interpretation, Gift Shop and Souvenirs, Guided Tours, Hiking, Historic Weapons Demonstration, Junior Ranger Program, Living History, Museum Exhibits, Park Film, Reenactments, Self-Guided Tours - Walking, Shopping, Wildlife Watching","Architecture and Building, Colonization and Settlement, Commerce, Forts, Grasslands, Marshes, Mexican War, Military, Native American Heritage, Prairies, Reconstruction, River and Riparian, Trade, Trails, US Army, Wars and Conflicts, Westward Expansion, Wetlands","Bent's Old Fort Living History Fee (3.0000)"
"Belmont-Paul Women's Equality","BEPA","National Monument",0,"National Capital ","DC","38.89231541","-77.00381882",2016-04-12,5,"0.34","0","0.34","9,913","8,944",826.083333333333,745.333333333333,"Bookstore and Park Store, Gift Shop and Souvenirs, Guided Tours, Junior Ranger Program, Museum Exhibits, Park Film, Self-Guided Tours - Walking, Shopping","Civil Rights, Social Movements, Voting Rights and Suffrage, Women's History","No Entrance Fee (0.0000)"
"Big Bend","BIBE","National Park",1,"Intermountain ","TX","29.29817767","-103.2297897",1935-06-20,86,"775,273.38","23,282.96","801,163.21","463,832","10,496,353",38652.6666666667,874696.083333333,"Astronomy, Auto and ATV, Backcountry Camping, Backcountry Hiking, Biking, Birdwatching, Camping, Canoe or Kayak Camping, Canoeing, Fishing, Food, Guided Tours, Hiking, Junior Ranger Program, Kayaking, Paddling, Scenic Driving, Stargazing, Wildlife Watching","Animals, Archeology, Aviation, Birds, Canyons and Canyonlands, Cavalry, Endangered, Fish, Fossils and Paleontology, Geology, Geothermal, Hispanic American Heritage, Hot Springs, Industry, Military, Mining, Native American Heritage, Natural Sounds, Night Sky, River and Riparian, Roads, Routes and Highways, Ruins, Scenic Views, Trails, Transportation, Unique Species, US Air Force (Army Air Corps)","Big Bend Entrance Fee--Per Vehicle (30.0000), Big Bend Entrance Fee--Motorcycle (25.0000), Big Bend Entrance Fee--Individual (12.0000), Non-commercial groups with vehicle capacity 15 or less (25.0000), Non-commercial groups with vehicle capacity of 16 or more (12.0000), Commercial Group Fee (12.0000)"
