Year,Date,Park Name and Location,Area Name,UnitCode
1965,1-Sep,"Delaware Water Gap National Recreation Area, Pennsylvania",DEL WATER GAP NRA,DEWA
1917,26-Feb,"Denali National Park and Denali National Preserve, Alaska (incorporated Mount McKinley National Park and Denali National Monument by ANILCA 1980)",DENALI NP,DENA
1911,6-Jul,"Devils Postpile National Monument, California",DEVILS POSTPILE NM,DEPO
1906,24-Sep,"Devils Tower National Monument, Wyoming",DEVILS TOWER NM,DETO
1915,4-Oct,"Dinosaur National Monument, Colorado",DINOSAUR NM,DINO
1992,26-Oct,"Dry Tortugas National Park, Florida (proclaimed Fort Jefferson National Monument 1935)",DRY TORTUGAS NP,DRTO
1978,10-Nov,"Ebey's Landing National Historical Reserve, Washington",EBEY'S LANDING NH RES,EBLA
1978,10-Nov,"Edgar Allan Poe National Historic Site, Pennsylvania",EDGAR ALLAN POE NHS,EDAL
1949,25-Oct,"Effigy Mounds National Monument, Iowa",EFFIGY MOUNDS NM,EFMO
1967,27-Nov,"Eisenhower National Historic Site, Pennsylvania",EISENHOWER NHS,EISE
1987,31-Dec,"El Malpais National Monument, New Mexico",EL MALPAIS NM,ELMA
1906,8-Dec,"El Morro National Monument, New Mexico",EL MORRO NM,ELMO
1977,26-May,"Eleanor Roosevelt National Historic Site, New York",ELEANOR ROOSEVELT NHS,ELRO
1976,18-Oct,"Eugene O'Neill National Historic Site, California",EUGENE O'NEILL NHS,EUON
1934,30-May,"Everglades National Park, Florida",EVERGLADES NP,EVER
1939,26-May,"Federal Hall National Memorial, New York (redesignated from Federal Hall Memorial National Historic Site 1955)",FEDERAL HALL NMEM,FEHA
1964,11-Sep,"Fire Island National Seashore, New York",FIRE ISLAND NS,FIIS
2000,11-Oct,"First Ladies National Historic Site, Ohio",FIRST LADIES NHS,FILA
2013,25-Mar,"First State National Historical Park, Delaware (originally a National Monument; rededicated a National Historical Park in 2014)",FIRST STATE NHP,FRST
2002,24-Sep,"Flight 93 National Memorial, Pennsylvania",FLIGHT 93 NATIONAL MEMORIAL,FLNI
1969,20-Aug,"Florissant Fossil Beds National Monument, Colorado",FLORISSANT FOSSIL BEDS NM,FLFO
1866,7-Apr,"Ford's Theatre, District of Columbia (acquisition authorized; designated a National Historic Site 1970)",FORD'S THEATRE NHS,FOTH
1964,30-Aug,"Fort Bowie National Historic Site, Arizona",FT BOWIE NHS,FOBO
1950,21-Sep,"Fort Caroline National Memorial, Florida",FT CAROLINE NMEM,FOCA
1961,8-Sep,"Fort Davis National Historic Site, Texas",FT DAVIS NHS,FODA
1933,10-Aug,"Fort Donelson National Battlefield, Tennessee",FT DONELSON NB,FODO
1936,26-May,"Fort Frederica National Monument, Georgia",FT FREDERICA NM,FOFR
1938,16-Jul,"Fort Laramie National Historic Site, Wyoming (redesignated from a National Monument 1960)",FT LARAMIE NHS,FOLA
1964,31-Aug,"Fort Larned National Historic Site, Kansas",FT LARNED NHS,FOLS
1924,15-Oct,"Fort Matanzas National Monument, Florida",FT MATANZAS NM,FOMA
1925,3-Mar,"Fort McHenry National Monument and Historic Shrine, Maryland (redesignated from Fort McHenry National Park 1939)",FT MCHENRY NM & HSHRIN,FOMC
2011,1-Nov,"Fort Monroe National Monument, Virginia",FT MONROE NM,FOMR
1931,4-Mar,"Fort Necessity National Battlefield, Pennsylvania (redesignated from a NBS 1961)",FT NECESSITY NB,FONE
1970,16-Oct,"Fort Point National Historic Site, California",FT POINT NHS,FOPO
1924,15-Oct,"Fort Pulaski, Georgia",FT PULASKI NM,FOPU
1941,5-Apr,"Fort Raleigh National Historic Site, North Carolina",FT RALEIGH NHS,FORA
1978,19-Oct,"Fort Scott National Historic Site, Kansas",FT SCOTT NHS,FOSC
1961,13-Sep,"Fort Smith National Historic Site, Arkansas",FT SMITH NHS,FOSM
1935,21-Aug,"Fort Stanwix National Monument, New York (acquired 1973)",FT STANWIX NM,FOST
1948,28-Apr,"Fort Sumter National Monument, South Carolina",FT SUMTER & FT MOULTRIE NHP,FOSU
1954,28-Jun,"Fort Union National Monument, New Mexico",FT UNION NM,FOUN
1966,20-Jun,"Fort Union Trading Post National Historic Site, Montana and North Dakota",FT UNION TRADING POST NHS,FOUS
1948,19-Jun,"Fort Vancouver National Historic Site, Washington (redesignated from a National Monument 1961)",FT VANCOUVER NHS,FOVA
1940,12-Aug,"Fort Washington Park, Maryland (transferred from War Dept. 1940)",FT WASHINGTON PARK,FOWA
1972,23-Oct,"Fossil Butte National Monument, Wyoming",FOSSIL BUTTE NM,FOBU
1959,5-Sep,"Franklin Delano Roosevelt Memorial, District of Columbia (dedicated 1997)",FDR MEMORIAL,FRDE
1962,5-Sep,"Frederick Douglass National Historic Site, District of Columbia (redesignated from Frederick Douglass Home 1988)",FREDERICK DOUGLASS NHS,FRDO
1979,12-Oct,"Frederick Law Olmsted National Historic Site, Massachusetts",FREDERICK LAW OLMSTED NHS,FRLA
1927,14-Feb,"Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park, Virginia",FRED-SPOTS MEM NMP,FRSP
2017,13-Jan,"Freedom Riders National Monument, Alabama",FREEDOM RIDERS NM,FRRI
1978,10-Nov,"Friendship Hill National Historic Site, Pennsylvania",FRIENDSHIP HILL NHS,FRHI
1978,1-Dec,"Gates of the Arctic National Park and Gates of the Arctic National Preserve, Alaska (originally a National Monument; redesignated by ANILCA 1980)",GATES OF THE ARCTIC NP,GAAR
1972,27-Oct,"Gateway National Recreation Area, New York",GATEWAY NRA,GATE
1988,26-Dec,"Gauley River National Recreation Area, West Virginia",GAULEY RIVER NRA,GARI
1958,14-Aug,"General Grant National Memorial, New York",GENERAL GRANT NMEM,GEGR
1966,23-Jul,"George Rogers Clark National Historical Park, Indiana",GEORGE R CLARK NHP,GERO
1930,23-Jan,"George Washington Birthplace National Monument, Virginia",G W BIRTHPLACE NM,GEWA
1943,14-Jul,"George Washington Carver National Monument, Missouri",GEORGE WASH. CARVER NM,GWCA
1930,29-May,"George Washington Memorial Parkway, Virginia (incorporated Mount Vernon Memorial Highway May 23, 1928)",G W MEMORIAL PKWY,GWMP
1895,11-Feb,"Gettysburg National Military Park, Pennsylvania",GETTYSBURG NMP,GETT
1907,16-Nov,"Gila Cliff Dwellings National Monument, New Mexico",GILA CLIFF DWELNGS NM,GICL
1925,26-Feb,"Glacier Bay National Park and Glacier Bay National Preserve, Alaska (originally a National Monument; redesignated by ANILCA 1980)",GLACIER BAY NP,GLBA
1910,11-May,"Glacier National Park, Montana",GLACIER NP,GLAC
1958,18-Apr,"Glen Canyon National Recreation Area, Utah",GLEN CANYON NRA,GLCA
1972,27-Oct,"Golden Gate National Recreation Area, California",GOLDEN GATE NRA,GOGA
1965,30-Jul,"Golden Spike National Historic Site, Utah (designated 1957)",GOLDEN SPIKE NHP,GOSP
2001,19-Jan,"Governors Island National Monument, New York",GOVERNORS ISLAND NM,GOIS
1919,26-Feb,"Grand Canyon National Park, Arizona (incorporated 1908 Grand Canyon National Monument)",GRAND CANYON NP,GRCA
1958,2-Sep,"Grand Portage National Monument, Minnesota (designated a National Historic Site 1951)",GRAND PORTAGE NM,GRPO
1929,26-Feb,"Grand Teton National Park, Wyoming (incorporated 1929 National Park and Jackson Hole National Monument)",GRAND TETON NP,GRTE
1972,25-Aug,"Grant-Kohrs Ranch National Historic Site, Montana",GRANT-KOHRS RANCH NHS,GRKO
1922,24-Jan,"Great Basin National Park, Nevada (incorporated Lehman Caves National Monument 1986)",GREAT BASIN NP,GRBA
1992,27-Oct,"Great Egg Harbor Scenic and Recreational River, New Jersey",GREAT EGG HARBOR N. RIVER,GREG
1932,17-Mar,"Great Sand Dunes National Park and Great Sand Dunes National Preserve, Colorado (National Preserve authorized 2000; redesignated from a National Monument 2004)",GREAT SAND DUNES NP,GRSA
1926,22-May,"Great Smoky Mountains National Park, North Carolina and Tennessee",GREAT SMOKY MTS NP,GRSM
1950,3-Aug,"Greenbelt Park, Maryland",GREENBELT PARK,GREE
1966,15-Oct,"Guadalupe Mountains National Park, Texas",GUADALUPE MTS NP,GUMO
1917,2-Mar,"Guilford Courthouse National Military Park, North Carolina",GUILFORD COURTHS NMP,GUCO
1971,8-Jan,"Gulf Islands National Seashore, Florida and Mississippi",GULF ISLANDS NS,GUIS
1988,18-Nov,"Hagerman Fossil Beds National Monument, Idaho",HAGERMAN FOSSIL BEDS,HAFO
1916,1-Aug,"Haleakala National Park, Hawaii (detached from Hawaii National Park 1960)",HALEAKALA NP,HALE
1962,27-Apr,"Hamilton Grange National Memorial, New York",HAMILTON GRANGE NMEM,HAGR
1948,22-Jun,"Hampton National Historic Site, Maryland",HAMPTON NHS,HAMP
1944,30-Jun,"Harpers Ferry National Historical Park, West Virginia (redesignated from a National Monument 1963)",HARPERS FERRY NHP,HAFE
2017,10-Jan,"Harriet Tubman National Historical Park, New York",HARRIET TUBMAN NHP,HART
2013,25-Mar,"Harriet Tubman Underground Railroad National Historical Park, Maryland (originally a National Monument; rededicated a National Historical Park in 2014)",HARRIET TUBMAN UNDRGR RR NHP,HATU
1983,23-May,"Harry S Truman National Historic Site, Missouri (designated 1982)",HARRY S TRUMAN NHS,HSTR
1916,1-Aug,"Hawaii Volcanoes National Park, Hawaii (split into Haleakala National Park and Hawaii National Park 1960; latter redesignated Hawaii Volcanoes National Park 1961)",HAWAII VOLCANOES NP,HAVO
1965,12-Aug,"Herbert Hoover National Historic Site, Iowa",HERBERT HOOVER NHS,HEHO
1972,21-Oct,"Hohokam Pima National Monument, Arizona",HOHOKAM PIMA NM,PIMA
1944,15-Jan,"Home of Franklin D. Roosevelt National Historic Site, New York",HOME OF F D R NHS,HOFR
1936,19-Mar,"Homestead National Monument of America, Nebraska",HOMESTEAD NM OF AMERIC,HOME
2015,24-Feb,"Honouliuli National Monument, Hawaii",HONOULIULI NHS,HONO
1923,2-Mar,"Hopewell Culture National Historical Park, Ohio (incorporated Mound City Group National Monument 1992)",HOPEWELL CULTURE NHP,HOCU
1938,3-Aug,"Hopewell Furnace National Historic Site, Pennsylvania (redesignated from Hopewell Village National Historic Site 1985)",HOPEWELL FURNACE NHS,HOFU
1956,25-Jul,"Horseshoe Bend National Military Park, Alabama",HORSESHOE BEND NMP,HOBE
1832,20-Apr,"Hot Springs National Park, Arkansas (proclaimed Hot Springs Reservation; redesignated 1921)",HOT SPRINGS NP,HOSP
1923,2-Mar,"Hovenweep National Monument, Utah",HOVENWEEP NM,HOVE
1965,28-Aug,"Hubbell Trading Post National Historic Site, Arizona",HUBBELL T P NHS,HUTR
1948,28-Jun,"Independence National Historical Park, Pennsylvania (incorporated Independence Hall National Historic Site, designated 1943)",INDEPENDENCE NHP,INDE
1966,5-Nov,"Indiana Dunes National Lakeshore, Indiana",INDIANA DUNES NP,INDU
1931,3-Mar,"Isle Royale National Park, Michigan",ISLE ROYALE NP,ISRO
1980,28-Dec,"James A. Garfield National Historic Site, Ohio",JAMES A GARFIELD NHS,JAGA
1907,4-Mar,"Jean Lafitte National Historical Park and Preserve, Louisiana (incorporated Chalmette National Historical Park 1978)",JEAN LAFITTE NHP &PRES,JELA
1935,21-Dec,"Jefferson National Expansion Memorial, Missouri (Gateway Arch authorized 1954)",,JEFF
1908,7-Feb,"Jewel Cave National Monument, South Dakota",JEWEL CAVE NM,JECA
1987,23-Dec,"Jimmy Carter National Historic Site, Georgia",JIMMY CARTER NHS,JICA
1972,25-Aug,"John D. Rockefeller, Jr., Memorial Parkway, Wyoming",JDROCKEFELLER MEM PKWY,
1975,8-Oct,"John Day Fossil Beds National Monument, Oregon",JOHN DAY FOS BEDS NM,JODA
1967,26-May,"John Fitzgerald Kennedy National Historic Site, Massachusetts",J F KENNEDY NHS,JOFI
1964,31-Aug,"John Muir National Historic Site, California",JOHN MUIR NHS,JOMU
1964,31-Aug,"Johnstown Flood National Memorial, Pennsylvania",JOHNSTOWN FLOOD NMEM,JOFL
1936,10-Aug,"Joshua Tree National Park, California (incorporated Joshua Tree National Monument 1994)",JOSHUA TREE NP,JOTR
1980,22-Dec,"Kalaupapa National Historical Park, Hawaii",KALAUPAPA NHP,KALA
1978,10-Nov,"Kaloko-Honokohau National Historical Park, Hawaii",KALOKO-HONOKOHAU NHP,KAHO
2016,24-Aug,"Katahdin Woods and Waters National Monument, Maine",KATAHDIN WOODS AND WATERS NM,KAWW
1918,24-Sep,"Katmai National Park and Katmai National Preserve, Alaska (originally a National Monument, redesignated by ANILCA 1980)",KATMAI NP,KATM
1978,1-Dec,"Kenai Fjords National Park, Alaska (redesignated from a National Monument by ANILCA 1980)",KENAI FJORDS NP,KEFJ
1917,18-Feb,"Kennesaw Mountain National Battlefield Park, Georgia (originally a NBS; redesignated 1935)",KENNESAW MT NBP,KEMO
1992,27-Oct,"Keweenaw National Historical Park, Michigan",KEWEENAW NHP,KEWE
1890,1-Oct,"Kings Canyon National Park, California (incorporated General Grant National Park 1940)",KINGS CANYON NP,KICA
1933,10-Aug,"Kings Mountain National Military Park, South Carolina",KINGS MT NMP,KIMO
1976,30-Jun,"Klondike Gold Rush National Historical Park, Alaska and Washington",KLONDIKE GOLD RUSH NHP,KLGO
1974,26-Oct,"Knife River Indian Villages National Historic Site, North Dakota",KNIFE RIVER INDIAN VIL NH,KNRI
1978,1-Dec,"Kobuk Valley National Park, Alaska (redesignated from a National Park by ANILCA 1980)",KOBUK VALLEY NP,KOVA
1986,28-Oct,"Korean War Veterans Memorial, District of Columbia (dedicated 1995)",KOREAN WAR VETERANS MEM,KOWA
1968,2-Oct,"Lake Chelan National Recreation Area, Washington",LAKE CHELAN NRA,LACH
1978,1-Dec,"Lake Clark National Park and Lake Clark National Preserve, Alaska (originally a National Monument; redesignated by ANILCA 1980)",LAKE CLARK NP,LACL
1964,8-Oct,Lake Mead National Recreation Area,LAKE MEAD NRA,LAKE
1965,15-Mar,"Lake Meredith National Recreation Area, Texas (name changed from Sanford National Recreation Area, 1972; redesignated Nov. 28, 1990)",LAKE MEREDITH NRA,LAMR
1946,18-Dec,"Lake Roosevelt National Recreation Area, Washington (administered under cooparative agreement starting 1990; redesignated from Coulee Dam National Recreation Area 1997)",LAKE ROOSEVELT NRA,LARO
1907,6-May,"Lassen Volcanic National Park, California (incorporated Cinder Cone and Lassen Peak NMs August 9, 1916)",LASSEN VOLCANIC NP,LAVO
1925,21-Nov,"Lava Beds National Monument, California",LAVA BEDS NM,LABE
1958,29-May,"Lewis and Clark National Historical Park, Oregon (incorporated Fort Clatsop National Monument October 30, 2004)",LEWIS AND CLARK NHP,LEWI
1962,19-Feb,"Lincoln Boyhood National Memorial, Indiana",LINCOLN BOYHOOD NMEM,LIBO
1971,18-Aug,"Lincoln Home National Historic Site, Illinois",LINCOLN HOME NHS,LIHO
1911,9-Feb,"Lincoln Memorial, District of Columbia (dedicated 1922)",LINCOLN MEMORIAL,LINC
1886,7-Dec,"Little Bighorn Battlefield National Monument, Montana (renamed from Custer Battlefield National Monument 1991; redesignated 1946 from National Cemetery of Custer's Battlefield Reservation)",LITTLE BIGHORN BATTLEFLD,LIBI
1992,21-Oct,"Little River Canyon National Preserve, Alabama",LITTLE RIVER CANYON,LIRI
1998,6-Nov,"Little Rock Central High School National Historic Site, Arkansas",LITTLE ROCK CENTRAL HS NH,CHSC
1972,9-Oct,"Longfellow House â€“ Washingtonâ€™s Headquarters National Historic Site, Massachusetts (redesignated from Longfellow National Historic Site 2010)",LONGFELLOW HOUSE-WASH HQ NHS,LONG
1978,5-Jun,"Lowell National Historical Park, Massachusetts",LOWELL NHP,LOWE
1969,2-Dec,"Lyndon B. Johnson National Historical Park, Texas (redesignated from a National Historic Site 1980)",LYNDON B JOHNSON NHP,LYJO
1973,28-Dec,"Lyndon Baines Johnson Memorial Grove on the Potomac, District of Columbia",LBJ MEM GROVE ON THE POTOMAC,LYBA
1978,10-Nov,"Maggie L. Walker National Historic Site, Virginia",MAGGIE L WALKER NHS,MAWA
1926,25-May,"Mammoth Cave National Park, Kentucky",MAMMOTH CAVE NP,MACA
1936,14-Nov,"Manassas National Battlefield Park, Virginia (redesignated from Bull Run Recreational Demonstration Area May 10, 1940)",MANASSAS NBP,MANA
2015,10-Nov,"Manhattan Project National Historical Park, New Mexico, Washington, and Tennesee",MANHATTAN PROJECT NHP,MAPR
1992,3-Mar,"Manzanar National Historic Site, California",MANZANAR NHS,MANZ
1992,26-Aug,"Marsh-Billings National Historical Park, Vermont (redesignated Marsh-Billings-Rockefeller National Historical Park 1998)",MARSH-BILLINGS-ROCKEFELLER N,MABI
2011,28-Aug,"Martin Luther King, Jr. Memorial, District of Columbia","MARTIN L KING, JR, MEMORIAL",MLKM
